NomDepartement;departement
AIN;Ain
AISNE;Aisne
ALLIER;Allier
ALPES(BASSES-);Alpes-de-Haute-Provence
ALPES(HAUTES-);Hautes-Alpes
ALPES-MARITIMES;Alpes-Maritimes
ARDECHE;Ardèche
ARDENNES;Marne et Ardennes
ARIEGE;Ariège
AUBE;Aube
AUDE;Aude
AVEYRON;Aveyron
BOUCHES-DU-RHONE;Bouches-du-Rhône
CALVADOS;Calvados
CANTAL;Cantal
CHARENTE;Charente
CHARENTE-INFERIEURE;Charente-Maritime
CHER;Cher et Indre
CORREZE;Corrèze
CORSE;Corse
COTE-D'OR;Côte-d'Or
COTES-DU-NORD;Côtes-d'Armor
CREUSE;Haute-Vienne et Creuse
DORDOGNE;Dordogne
DOUBS;Haute-Saône et Doubs
DROME;Drôme
EURE;Eure
EURE-ET-LOIR;Eure-et-Loir
FINISTERE;Finistère
GARD;Gard
GARONNE(HAUTE-);Haute-Garonne
GERS;Gers
GIRONDE;Gironde
HERAULT;Hérault
ILLE-ET-VILAINE;Ille-et-Vilaine
INDRE;Cher et Indre
INDRE-ET-LOIRE;Indre-et-Loire
ISERE;Isère
JURA;Jura
LANDES;Landes
LOIR-ET-CHER;Loir-et-Cher
LOIRE;Rhône et Loire
LOIRE(HAUTE-);Haute-Loire
LOIRE-INFERIEURE;Loire-Atlantique
LOIRET;Loiret
LOT;Lot
LOT-ET-GARONNE;Lot-et-Garonne
LOZERE;Lozère
MAINE-ET-LOIRE;Maine-et-Loire
MANCHE;Manche
MARNE;Marne et Ardennes
MARNE(HAUTE-);Haute-Marne
MAYENNE;Mayenne
MEURTHE-ET-MOSELLE;Meurthe-et-Moselle
MEUSE;Meuse
MORBIHAN;Morbihan
MOSELLE;Moselle
NIEVRE;Nièvre
NORD;Nord
OISE;Oise
ORNE;Orne
PAS-DE-CALAIS;Pas-de-Calais
PUY-DE-DOME;Puy-de-Dôme
PYRENEES(BASSES-);Pyrénées-Atlantiques
PYRENEES(HAUTES-);Hautes-Pyrénées
PYRENEES-ORIENTALES;Pyrénées-Orientales
RHIN(BAS-);Bas-Rhin et Haut-Rhin
RHIN(HAUT-);Bas-Rhin et Haut-Rhin
RHONE;Rhône et Loire
SAONE(HAUTE-);Haute-Savoie
SAONE-ET-LOIRE;Saône-et-Loire
SARTHE;Sarthe
SAVOIE;Savoie
SAVOIE(HAUTE-);Haute-Saône et Doubs
SEINE;
SEINE-INFERIEURE;Seine-Maritime
SEINE-ET-MARNE;Seine-et-Marne
SEINE-ET-OISE;
SEVRES(DEUX-);Vienne et Deux-Sèvres
SOMME;Somme
TARN;Tarn
TARN-ET-GARONNE;Tarn-et-Garonne
VAR;Var
VAUCLUSE;Vaucluse
VENDEE;Vendée
VIENNE;Vienne et Deux-Sèvres
VIENNE(HAUTE-);Haute-Vienne et Creuse
VOSGES;Vosges
YONNE;Yonne
MEURTHE;